Site,Site2,FRPStation,EMPzoop,Twentymil,FMWT,Shallowdeep,Ggdist,SiteType,Region
Cache,Cache,723 FRP,,723,723,N,115,Channel,Cache
Cache,Cache,Lookout Vogel Outside,,,,N,115,Tidal,Cache
Cache,Cache,LookoutVogelOutside,,,,N,115,Tidal,Cache
Flyway,Flyway,Flyway,,,,N,125,Tidal,Cache
Flyway,Flyway,Flyway Channel,,,,N,125,Tidal,Cache
Flyway,Flyway,FlywayChannel1,,,,N,125,Tidal,Cache
Flyway,Flyway,Toedrain1,,,,N,125,Channel,Cache
Liberty,Liberty,NELiberty,,,,N,110,Tidal,Cache
Liberty,Liberty,NELiberty,,,,N,110,Tidal,Cache
Liberty,Liberty,NWLiberty,,,,N,110,Tidal,Cache
Liberty,Liberty,SELiberty,,,,N,110,Tidal,Cache
Liberty,Liberty,SWLiberty,,,,N,110,Tidal,Cache
Liberty,Liberty,SWLiberty,,,,N,110,Tidal,Cache
Lindsey,Lindsey,720 FRP,,720,,Y,130,Channel,Cache
Lindsey,Lindsey,LinBr,,720,,Y,130,Tidal,Cache
Lindsey,Lindsey,LinBR,,720,,Y,130,Tidal,Cache
Lindsey,Lindsey,Lindsey tules,,720,,Y,130,Tidal,Cache
Lindsey,Lindsey,Lindsey Tules,,720,,Y,130,Tidal,Cache
Lookout,Lookout,LOOK_UNK,,,,N,115,Diked,Cache
Lookout,Lookout,LookoutSlough,,,,N,115,Diked,Cache
Lookout,Lookout,LookoutSouthPond,,,,N,115,Diked,Cache
Lookout,Lookout,LookoutSycamore,,,,N,115,Diked,Cache
Prospect,Miner,724 FRP,,724,,Y,115,Channel,Cache
Prospect,Miner,726 FRP,,726,,Y,120,Channel,Cache
Prospect,Miner,MinSlo1,,,,N,115,Channel,Cache
Prospect,Prospect,ProBr,,724,723,Y,115,Muted,Cache
Prospect,Prospect,ProBR,,724,,Y,115,Muted,Cache
Prospect,Prospect,SoPro,,724,723,N,115,Muted,Cache
Prospect,Prospect,SoPro1,,,,N,115,Muted,Cache
Prospect,Prospect,SoPro2,,,,N,115,Muted,Cache
Prospect,Prospect,SoPro3,,,,N,115,Muted,Cache
Prospect,Prospect,SoPro4,,724,723,N,115,Muted,Cache
Prospect,Prospect,SoPro5,,724,723,N,115,Muted,Cache
Prospect,Prospect,SoPro6,,724,723,N,115,Muted,Cache
Prospect,Prospect,SoPro7,,724,723,N,115,Muted,Cache
Browns,Browns,Browns 1,NZ054,513,513,Y,80,Tidal,Confluence
Browns,Browns,Browns Channel,NZ054,513,513,Y,80,Tidal,Confluence
Browns,Browns,Browns1,NZ054,513,513,Y,80,Tidal,Confluence
Browns,Browns,BrownsPond,NZ054,513,513,Y,80,Tidal,Confluence
Chipps,Chipps,Chipps Met,,,,N,75,Muted,Confluence
Chipps,Chipps,Chipps North,,,,N,75,Muted,Confluence
Dow Wetlands,Dow Wetlands,Dow 2,NZ074,801,802,N,80,Tidal,Confluence
Dow Wetlands,Dow Wetlands,Dow 3,NZ074,801,802,N,80,Tidal,Confluence
Dow Wetlands,Dow Wetlands,Dow 4,NZ074,801,802,N,80,Tidal,Confluence
Dow Wetlands,Dow Wetlands,Dow 5,NZ074,801,802,N,80,Tidal,Confluence
Dow Wetlands,Dow Wetlands,Dow Breach,NZ074,801,802,N,80,Tidal,Confluence
Dow Wetlands,Dow Wetlands,Dow Outside,,,,N,80,Channel,Confluence
Sherman Lake,Sherman Lake,703 FRP,NZ060,703,704,Y,85,Tidal,Confluence
Winter,Broad Slough,801 FRP,NZ060,801,802,Y,80,Tidal,Confluence
Winter,Winter,WinBr,NZ060,801,802,Y,80,Muted,Confluence
Winter,Winter,WinBR,NZ060,801,802,Y,80,Muted,Confluence
Winter,Winter,Winter 1,NZ060,801,802,Y,80,Muted,Confluence
Winter,Winter,Winter 2,NZ060,801,802,Y,80,Muted,Confluence
Winter,Winter,Winter 3,NZ060,801,802,N,80,Muted,Confluence
Winter,Winter,Winter 5,,,,N,80,Muted,Confluence
Winter,Winter,Winter Channel,NZ060,801,802,Y,80,Muted,Confluence
Winter,Winter,WinterChannel,,,,Y,80,Muted,Confluence
Winter,Winter,WinterNorth,,,,N,80,Muted,Confluence
Winter,Winter,WinterPondsEast,,,,N,80,Muted,Confluence
