Site,Site2,Shallowdeep,Ggdist,SiteType,Region,survey,Station
Arnold,Arnold,N,75,Diked,Suisun Marsh,FRP,Arnold Restoration
Little Honker Bay,Blacklock,Y,75,Tidal,Suisun Marsh,FRP,Blacklock
Bradmoor,Bradmoor,N,75,Diked,Suisun Marsh,FRP,322 Bradmoor
Bradmoor,Bradmoor,N,75,Diked,Suisun Marsh,FRP,329 East Bradmoor
Bradmoor,Bradmoor,N,75,Diked,Suisun Marsh,FRP,330 South Bradmoor
Bradmoor,Bradmoor,N,75,Diked,Suisun Marsh,FRP,BRAD_UNK
Bradmoor,Bradmoor,N,75,Diked,Suisun Marsh,FRP,Bradmoor
Winter,Broad Slough,Y,80,Channel,Confluence,20mm,801
Dow Wetlands,Broad Slough,N,80,Channel,Confluence,FRP,Dow Outside
Winter,Broad Slough,Y,80,Channel,Confluence,EMP,NZ060
Winter,Broad Slough,Y,80,Channel,Confluence,FRP,801 FRP
Browns,Broad Slough,Y,80,Channel,Confluence,20mm,513
Browns,Browns,Y,80,Tidal,Confluence,FRP,Browns 1
Browns,Browns,Y,80,Tidal,Confluence,FRP,Browns Channel
Browns,Browns,Y,80,Tidal,Confluence,FRP,Browns1
Browns,Browns,Y,80,Tidal,Confluence,FRP,BrownsPond
Browns,Broad Slough,Y,80,Tidal,Confluence,EMP,NZ054
Cache,Cache,N,115,Channel,Cache,20mm,723
Cache,Cache,N,115,Channel,Cache,FRP,723 FRP
Cache,Cache,N,115,Channel,Cache,FRP,Lookout Vogel Outside
Cache,Cache,N,115,Channel,Cache,FRP,LookoutVogelOutside
Chipps,Chipps,N,75,Muted,Confluence,FRP,Chipps Met
Chipps,Chipps,N,75,Muted,Confluence,FRP,Chipps North
Horseshoe Bend,Decker,Y,92,Muted,Sac SanJ,FRP,Decker Breach
Horseshoe Bend,Decker,N,92,Muted,Sac SanJ,FRP,Decker Channel
Horseshoe Bend,Decker,N,92,Muted,Sac SanJ,FRP,Decker Inside
Dow Wetlands,Dow Wetlands,N,80,Tidal,Confluence,FRP,Dow 2
Dow Wetlands,Dow Wetlands,N,80,Tidal,Confluence,FRP,Dow 3
Dow Wetlands,Dow Wetlands,N,80,Tidal,Confluence,FRP,Dow 4
Dow Wetlands,Dow Wetlands,N,80,Tidal,Confluence,FRP,Dow 5
Dow Wetlands,Dow Wetlands,N,80,Tidal,Confluence,FRP,Dow Breach
Dow Wetlands,Dow Wetlands,N,80,Tidal,Confluence,EMP,NZ074
Flyway,Flyway,N,125,Tidal,Cache,FRP,Flyway
Flyway,Flyway,N,125,Tidal,Cache,FRP,Flyway Channel
Flyway,Flyway,N,125,Tidal,Cache,FRP,FlywayChannel1
Grizzly Bay,Grizzly Bay,Y,65,Channel,Suisun Bay,20mm,602
Grizzly Bay,Grizzly Bay,Y,65,Channel,Suisun Bay,FRP,602FRP
Grizzly Bay,Grizzly Bay,Y,65,Channel,Suisun Bay,FRP,GRIZ_UNK
Grizzly Bay,Grizzly Bay,Y,65,Channel,Suisun Bay,EMP,NZ028
