ZooCode,FishCode,CommonName,Phylum,Class,Order,Family,Genus,Species,LifeStage,fishDiet,Analy,Analy2,CN
78,,Corophiid UNID,Arthropoda,Malacostraca,Amphipoda,Corophiidae,unknown,,adult,TRUE,Amphipoda,Amphipoda,Chorophiid
112,,Amphipod juvenile,Arthropoda,Malacostraca,Amphipoda,,,,larvae,TRUE,Amphipoda,Amphipoda,Amphipod
150,,Amphipod UNID/other,Arthropoda,Malacostraca,Amphipoda,,,,adult,TRUE,Amphipoda,Amphipoda,Amphipod
267,,Corophiid Juvenile,Arthropoda,Malacostraca,Amphipoda,Corophiidae,,,larvae,TRUE,Amphipoda,Amphipoda,Chorophiid
300,,Americorophium spinicorne,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,spinicorne,adult,TRUE,Amphipoda,Amphipoda,Americorophium spinicorne
301,,Americorophium stimpsoni,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,stimpsoni,adult,TRUE,Amphipoda,Amphipoda,Americorophium stimpsoni
302,,Corophium alienense,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium,alienense,adult,TRUE,Amphipoda,Amphipoda,Chorophiid
77,,Gammarus,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,spp.,adult,TRUE,Gammaridae,Amphipoda,Gammarus
110,,Crangonyx,Arthropoda,Malacostraca,Amphipoda,Crangonycitidae,Crangonyx,,adult,TRUE,Gammaridae,Amphipoda,Crangonyx
111,,Hyalella,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,Hyalella,,adult,TRUE,Gammaridae,Amphipoda,Hyalella
246,,Grandidierella,Arthropoda,Malacostraca,Amphipoda,Aoridae,Grandidierella,spp.,adult,TRUE,Gammaridae,Amphipoda,Grandidierella
253,,Melita,Arthropoda,Malacostraca,Amphipoda,Hadzioidea,Melita,,adult,TRUE,Gammaridae,Amphipoda,Amphipod
254,,Ampithoe,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,,adult,TRUE,Gammaridae,Amphipoda,Amphipod
303,,Gammarid juvenile,Arthropoda,Malacostraca,Amphipoda,Gammaridae,,,adult,TRUE,Gammaridae,Amphipoda,Gammarid
10000,,Eogammarus,Arthropoda,Malacostraca,Amphipoda,Anisogammaridae,Eogammarus,,adult,FALSE,Gammaridae,Amphipoda,Eogammarus
1,,Worm UNID/other,Annelida,,,,,,adult,FALSE,Annelida,Annelida,worm
101,,Leech,Annelida,Hirudinea,,,,,adult,FALSE,Annelida,Annelida,leech
102,,Oligocheate,Annelida,Oligocheata,,,,,adult,FALSE,Annelida,Annelida,Oligocheate
180,,Lumbricidae,Annelida,Oligochaeta,Haplotaxida,Lumbricidae,,,adult,FALSE,Annelida,Annelida,Oligocheate
217,,Hediste limnicola,Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,limnicola,adult,FALSE,Annelida,Annelida,Polychaeate
220,,Polychaete,Annelida,Polychaeta,,,,,adult,FALSE,Annelida,Annelida,Polychaeate
227,,Stylaria,Annelida,Clitellata,Haplotaxida,Tubificina,Stylaria,,adult,FALSE,Annelida,Annelida,Clitelleate
105,,Spider,Arthropoda,Arachnida,Araneae,,,,adult,TRUE,Arachnida,Arachnida,Spider
106,,Mite,Arthropoda,Arachnida,Hydracarina,,,,adult,FALSE,Arachnida,Arachnida,Mite
11,,Barnacle Nauplii,Arthropoda,Cirripedia,,,,,larvae,FALSE,barnacle,barnacle,Barnacle Nauplii
61,,Bosmina,Arthropoda,Branchiopoda,Cladocera,,Bosmina,longirostris,adult,TRUE,Cladocera,Cladocera,Bosmina
62,,Daphnia,Arthropoda,Branchiopoda,Cladocera,,Daphnia,spp.,adult,TRUE,Cladocera,Cladocera,Daphnia
63,,Diaphanosoma,Arthropoda,Branchiopoda,Cladocera,,Diaphanosoma,spp.,adult,TRUE,Cladocera,Cladocera,Diaphanosoma
64,,Ceriodaphnia,Arthropoda,Branchiopoda,Cladocera,,Ceriodaphnia,spp.,adult,TRUE,Cladocera,Cladocera,Ceriodaphnia
69,,cladocera other,Arthropoda,Branchiopoda,Cladocera,,,,adult,TRUE,Cladocera,Cladocera,cladocera other
107,,Cladocera,Arthropoda,Branchiopoda,Cladocera,,,,adult,TRUE,Cladocera,Cladocera,Cladocera
250,,Chydorus,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Chydorus,,adult,TRUE,Cladocera,Cladocera,Chydorus
251,,Moina,Arthropoda,Branchiopoda,Cladocera,Moinidae,Moina,,adult,TRUE,Cladocera,Cladocera,Moina
252,,Sida,Arthropoda,Branchiopoda,Cladocera,Sididae,Sida,,adult,TRUE,Cladocera,Cladocera,Sida
255,,Simocephalus,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Simocephalus,,adult,TRUE,Cladocera,Cladocera,Simocephalus
257,,Ilyocryptus,Arthropoda,Branchiopoda,Cladocera,Ilyocryptidae,Ilyocryptus,,adult,TRUE,Cladocera,Cladocera,Ilyocryptus
258,,Scapholeberis,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Scapholeberis,,adult,TRUE,Cladocera,Cladocera,Scapholeberis
265,,Holopedium,Arthropoda,Branchiopoda,Cladocera,Holopedidae,Holopedium,,adult,TRUE,Cladocera,Cladocera,Holopedium
266,,Macrothricidae,Arthropoda,Branchiopoda,Cladocera,Macrothricidae,,,adult,TRUE,Cladocera,Cladocera,Macrothricidae
268,,Leptodora,Arthropoda,Brachiopoda,Cladocera,Leptodoridae,Leptodora,,adult,TRUE,Cladocera,Cladocera,Leptodora
269,,Latona,Arthropoda,Branchiopoda,Cladocera,Sididae,Latona,,adult,TRUE,Cladocera,Cladocera,Latona
137,,Hydra,Cnidaria,Hydrozoa,Hydrida,Hydridae,Hydra,,adult,FALSE,Cnidaria,Cnidaria,Hydra
104,,Collembola,Arthropoda,Collembola,,,,,adult,TRUE,Collembola,Collembola,Collembola
31,,Acartia spp.,Arthropoda,Copepoda,Calanoida,,Acartia,spp.,adult,TRUE,Calanoida,Copepoda,Acartia spp.
32,,Diaptomidae spp.,Arthropoda,Copepoda,Calanoida,Diaptomidae,,,adult,TRUE,Calanoida,Copepoda,Diaptomidae spp.
33,,Pseudodiaptomus spp.,Arthropoda,Copepoda,Calanoida,,Pseudodiaptomus,spp.,adult,TRUE,Calanoida,Copepoda,Pseudodiaptomus spp.
34,,Eurytemora affinis,Arthropoda,Copepoda,Calanoida,,Eurytemora,affinis,adult,TRUE,Calanoida,Copepoda,Eurytemora affinis
35,,Sinocalanus,Arthropoda,Copepoda,Calanoida,,Sinocalanus,doerrii,adult,TRUE,Calanoida,Copepoda,Sinocalanus
36,,Osphranticum,Arthropoda,Copepoda,Calanoida,,Osphranticum,labronectum,adult,TRUE,Calanoida,Copepoda,Osphranticum
37,,Acartiella,Arthropoda,Copepoda,Calanoida,,Acartiella,sinensis,adult,TRUE,Calanoida,Copepoda,Acartiella
38,,Tortanus,Arthropoda,Copepoda,Calanoida,,Tortanus,sp.,adult,TRUE,Calanoida,Copepoda,Tortanus
39,,Acartia copepodid,Arthropoda,Copepoda,Calanoida,,Acartia,,juvenile,TRUE,Calanoida,Copepoda,Acartia copepodid
40,,calanoid copepodid,Arthropoda,Copepoda,Calanoida,,,,juvenile,TRUE,Calanoida,Copepoda,calanoid copepodid
