"","CommonName","Analy","SampleID","Station","sitetype","site","Region2","Date","month","season","atotal","Dilution","Volume","totCount","totcells","totCountall","CPUE","ZooCode","FishCode","Phylum","Class","Order","Family","Genus","Species","LifeStage","fishDiet","Analy2","CN"
"1","Acanthocyclops","Cyclopoida","ZOOP2-WI-09APR2019","801 FRP","channel","Broad","Confluence","2019-04-09",4,"Spring",21,30,2.02453222127236,7,10,449,10.3727664985258,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"2","Acanthocyclops","Cyclopoida","ZOOP4-SJ-22MAR2019","STACYS","tidal","WTIB","Sac-San Joaquin","2019-03-22",3,"Spring",7.5,NA,2.06232348940277,NA,NA,NA,3.6366748662558,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"3","Acanthocyclops","Cyclopoida","ZOOP1-15MAR2018","602FRP","channel","Grizzly","Suisun Bay","2018-03-15",3,"Spring",56,70,3.36477255175466,4,5,724,16.6430268728854,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"4","Acanthocyclops","Cyclopoida","ZOOP4-02MAR2018","724 FRP","channel","Miner","Cache Slough","2018-03-02",3,"Spring",22.5,15,1.57778544444492,9,6,482,14.2604940863273,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"5","Acanthocyclops","Cyclopoida","ZOOP801-2-12MAR2018","801 FRP","channel","Broad","Confluence","2018-03-12",3,"Spring",6,30,1.71860290783565,2,10,205,3.49120787160554,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"6","Acanthocyclops","Cyclopoida","ZOOP2-LI-06JUN2019","SELiberty","tidal","Liberty","Cache Slough","2019-06-06",6,"Summer",6.66666666666667,40,6.61527150701972,1,6,438,1.00776916859609,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"7","Acanthocyclops","Cyclopoida","ZOOP1-DECK-01OCT2019","Decker Channel","tidal","Decker","Sac-San Joaquin","2019-10-01",10,"Fall",8,200,9.42572902441865,1,25,404,0.848740715893158,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"8","Acanthocyclops","Cyclopoida","ZOOP1-23MAR2018","SWLiberty","tidal","Liberty","Cache Slough","2018-03-23",3,"Spring",10,30,1.85942037122637,2,6,480,5.37802002965287,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"9","Acanthocyclops","Cyclopoida","ZOOP2-23JAN2018","Decker Breach","tidal","Decker","Sac-San Joaquin","2018-01-23",1,"Winter",2,10,0.364415799829024,1,5,210,5.48823624260627,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"10","Acanthocyclops","Cyclopoida","ZOOP1-YF-23MAY2019","Flyway Channel","tidal","Flyway","Cache Slough","2019-05-23",5,"Spring",660,300,2.13430685727024,11,5,853,309.233884411604,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"11","Acanthocyclops","Cyclopoida","ZOOP3-DI-04APR2019","705 FRP","channel","Horseshoe","Sac-San Joaquin","2019-04-04",4,"Spring",280,80,2.86898710556752,21,6,482,97.5954194623725,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"12","Acanthocyclops","Cyclopoida","ZOOP3-YOLO-29OCT2019","Flyway Channel","tidal","Flyway","Cache Slough","2019-10-29",10,"Fall",10,50,5.51392597864756,1,5,578,1.81358981580902,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"13","Acanthocyclops","Cyclopoida","ZOOP1-WI-27MAR2019","Winter 3","tidal","Winter","Confluence","2019-03-27",3,"Spring",15,NA,0.313127650223458,NA,NA,NA,47.9037861693003,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"14","Acanthocyclops","Cyclopoida","ZOOP2-CI-29APR2019","Chipps Met","diked","Chipps","Confluence","2019-04-29",4,"Spring",169.230769230769,NA,9.42572902441865,NA,NA,NA,17.9541305285091,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"15","Acanthocyclops","Cyclopoida","ZOOP2-15MAR2018","602FRP","channel","Grizzly","Suisun Bay","2018-03-15",3,"Spring",5.71428571428571,40,2.11316174295917,1,7,1574,2.70414024545215,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"16","Acanthocyclops","Cyclopoida","ZOOP2-01NOV2018","501 FRP","tidal","Ryer","Suisun Bay","2018-11-01",11,"Fall",4.44444444444444,20,2.94187026553332,2,9,550,1.51075473875077,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"17","Acanthocyclops","Cyclopoida","ZOOP2-13DEC2018","723 FRP","tidal","Liberty","Cache Slough","2018-12-13",12,"Winter",8.57142857142857,10,2.89013221987858,6,7,630,2.96575655344539,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
